Region,YearCode,avh,emp,rgdpo,avh_emp,productivity
East Asia and Pacific,1960,45019.204716121334,443.3690999746327,1780212.3884277344,920049.0078334735,1.9349103941971189
East Asia and Pacific,1970,44840.52784119626,534.4227384030816,3426307.413208008,1105135.2036109357,3.1003513434490535
East Asia and Pacific,1980,44456.665884350376,703.2409400641922,6043404.644775391,1448181.5765943222,4.1730986931815695
East Asia and Pacific,1990,43698.816897690514,948.4175832048061,9975982.689453125,1930765.7760816847,5.166852868968127
East Asia and Pacific,2000,43652.4197832235,1074.621946081519,15794722.016601562,2265398.566867988,6.972160328695913
East Asia and Pacific,2010,42769.987334140125,1178.0430141836405,28530778.077148438,2534945.5915335226,11.254986368322273
East Asia and Pacific,2019,41840.393890933105,1243.4844955652954,38344786.12402344,2635838.0824244698,14.547474057569396
Europe and Central Asia,1960,97218.96931765489,351.1841730475426,8488999.68359375,723482.3490139886,11.733527010248613
Europe and Central Asia,1970,95303.26766986707,356.8041105493903,10700496.8046875,709444.0360598372,15.082932917607865
Europe and Central Asia,1980,92227.9236487891,367.451966546476,13628214.879882812,703773.0201846117,19.36450316937114
Europe and Central Asia,1990,90615.24310120931,380.21100713312643,15820811.313964844,708072.7443324937,22.34348298334694
Europe and Central Asia,2000,90189.63599180603,364.4842562228442,18437307.15234375,666345.0896189124,27.6693074498203
Europe and Central Asia,2010,88362.74755396384,389.2449771016837,26191244.649414062,699973.4132513558,37.41748494097298
Europe and Central Asia,2019,87273.09465361635,415.59819312393665,31868180.715820312,736882.9943803351,43.24727393474337
Latin America and Caribbean,1960,79243.8696250692,65.14500489458437,816756.8781051636,139921.3205493374,5.837258216964644
Latin America and Caribbean,1970,78617.35114183104,80.87480812147261,1469795.0291061401,171060.9702735743,8.592228997389219
Latin America and Caribbean,1980,78433.88543596795,113.81592562794677,2657325.156272888,233385.64692560458,11.38598363386054
Latin America and Caribbean,1990,78021.2171896679,155.43566270079455,3162568.4133758545,309189.48590392986,10.228576835754742
Latin America and Caribbean,2000,77798.6088827295,192.2312273243443,5011644.024047852,380513.6644821435,13.170733384485422
Latin America and Caribbean,2010,77126.42084209925,244.93262398615488,8275373.397949219,474128.19659909076,17.453873145086618
Latin America and Caribbean,2019,76297.5934790292,279.963130584918,9282640.849609375,530582.692892117,17.49518213459105
Middle East and North Africa,1960,41595.52336277831,28.2186313122511,705891.3019714355,58569.63276349837,12.052172237818084
Middle East and North Africa,1970,41595.52336277831,32.16632594168187,908865.1899414062,66730.45700367121,13.619945535385806
Middle East and North Africa,1980,41595.52336277831,45.53451757133008,1673049.1608886719,94475.00611852271,17.70890767437225
Middle East and North Africa,1990,41595.52336277831,60.415025413036346,1698183.3481445312,125381.17463370989,13.544165247339762
Middle East and North Africa,2000,41725.9237830794,81.25795863568787,2958954.3591308594,168922.7759184457,17.516609841643938
Middle East and North Africa,2010,41506.46927359028,110.72372417151931,6928428.6669921875,229891.97783811658,30.13775744654731
Middle East and North Africa,2019,41256.29149564478,134.75249008834365,7711537.0693359375,279491.4710613438,27.591314468567028
North America,1960,6106.0689090716505,77.62095618247983,3809232.56640625,151253.13112012227,25.184487343809312
North America,1970,5898.42364272738,92.8875267505646,5800574.28515625,176139.4705986859,32.931711815872376
North America,1980,5708.61144491269,114.18646550178522,8012051.15625,206010.66616848556,38.891438512690186
North America,1990,5670.86066953274,136.3710653781896,10936374.873046875,244869.76294863693,44.66200620834044
North America,2000,5711.04034707054,153.62577481567908,15390631.666992188,282548.5558229716,54.47074971650202
North America,2010,5529.21965102995,158.04561555758144,18214702.096679688,273863.68329023226,66.5101041432219
North America,2019,5534.627322917449,177.6324605457483,22465071.673339844,312125.6248683084,71.97445478184713
South Asia,1960,14975.38716990713,220.05194078758325,699136.6924743652,466764.2183593394,1.4978369484529197
South Asia,1970,14975.38716990713,242.55728660896474,1064174.6148376465,514994.92765865824,2.066378827604663
South Asia,1980,15004.32643730481,322.4924644120043,1251317.568725586,679865.5091658257,1.8405369177514455
South Asia,1990,14920.84649065275,418.7853416576981,1787479.6844482422,884372.691295364,2.0211837181788974
South Asia,2000,15074.631942327389,503.4776076227425,2995907.8969726562,1073285.5003904866,2.791342933341291
South Asia,2010,14928.26824507528,595.6768913120035,7023227.313964844,1281248.6429131774,5.48154907543638
South Asia,2019,14671.243737228691,650.5779411643744,11426748.037109375,1388355.6501131747,8.23041850708635
Sub-Saharan Africa,1960,93755.74297377937,91.16985781304541,490947.29278564453,190748.73538300153,2.5737905512184853
Sub-Saharan Africa,1970,93755.74297377937,109.92504669539635,758457.4063873291,229881.90165246523,3.2993350104348917
Sub-Saharan Africa,1980,93755.74297377937,139.4051783960312,1162621.2445983887,291285.498224199,3.991346124974381
Sub-Saharan Africa,1990,93755.74297377937,180.56152565777293,1102421.7328338623,377374.39824281103,2.921294443839139
Sub-Saharan Africa,2000,93755.74297377937,233.05795890092855,1360017.1425476074,486915.2214300916,2.7931292403494323
Sub-Saharan Africa,2010,93755.74297377937,307.2494578473271,3019887.733947754,641528.3229071758,4.707333450630376
Sub-Saharan Africa,2019,93711.36336158219,414.46250131726265,4528449.046020508,864158.117564669,5.240301461013149
